Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Surf. Tension (N/m)	Phase
202.28	4.5039	1448.4	0.00069043	4.3818	4.6424	27.454	20.237	146.59	230.44	2.1510	75.396	0.036778	0.00067335	liquid
202.78	4.5692	1433.8	0.00069743	4.4290	4.6961	27.700	20.412	155.14	225.31	2.2552	74.045	0.036504	0.00061567	liquid
203.28	4.6352	1418.6	0.00070492	4.4778	4.7516	27.955	20.604	165.14	220.06	2.3672	72.659	0.036248	0.00055905	liquid
203.78	4.7020	1402.6	0.00071295	4.5285	4.8094	28.219	20.814	177.00	214.68	2.4881	71.232	0.036016	0.00050353	liquid
204.28	4.7696	1385.7	0.00072164	4.5812	4.8696	28.494	21.047	191.29	209.15	2.6194	69.757	0.035816	0.00044919	liquid
204.78	4.8380	1367.8	0.00073109	4.6363	4.9327	28.782	21.306	208.85	203.46	2.7625	68.227	0.035660	0.00039612	liquid
205.28	4.9072	1348.7	0.00074147	4.6943	4.9992	29.086	21.595	230.93	197.60	2.9195	66.630	0.035564	0.00034441	liquid
205.78	4.9773	1328.0	0.00075301	4.7559	5.0700	29.409	21.921	259.51	191.55	3.0930	64.951	0.035551	0.00029419	liquid
206.28	5.0482	1305.5	0.00076601	4.8219	5.1460	29.756	22.293	297.90	185.26	3.2864	63.170	0.035654	0.00024561	liquid
206.78	5.1201	1280.5	0.00078094	4.8937	5.2287	30.134	22.724	352.04	178.72	3.5045	61.259	0.035928	0.00019885	liquid
207.28	5.1928	1252.3	0.00079853	4.9732	5.3206	30.555	23.231	433.72	171.87	3.7540	59.171	0.036467	0.00015418	liquid
207.78	5.2665	1219.4	0.00082007	5.0638	5.4258	31.037	23.844	569.79	164.64	4.0458	56.833	0.037455	0.00011194	liquid
208.28	5.3412	1179.1	0.00084808	5.1724	5.5520	31.619	24.615	835.87	156.91	4.3985	54.107	0.039346	7.2663e-05	liquid
208.78	5.4170	1125.0	0.00088887	5.3150	5.7185	32.391	25.651	1543.6	148.49	4.8539	50.671	0.043700	3.7280e-05	liquid
209.28	5.4937	1032.1	0.00096888	5.5561	6.0021	33.719	27.258	6341.9	138.96	5.5677	45.362	0.046729	8.0097e-06	liquid
115.78	0.073534	6.5738	0.15212	7.9735	8.9109	77.000	13.270	22.597	136.13	49.753	9.9906	0.0037324	vapor
116.28	0.076670	6.8301	0.14641	7.9780	8.9187	76.729	13.291	22.648	136.36	49.236	10.038	0.0037506	vapor
116.78	0.079910	7.0940	0.14096	7.9825	8.9264	76.461	13.311	22.700	136.58	48.728	10.085	0.0037689	vapor
117.28	0.083255	7.3656	0.13577	7.9869	8.9341	76.195	13.332	22.754	136.81	48.228	10.132	0.0037873	vapor
117.78	0.086708	7.6450	0.13080	7.9913	8.9417	75.932	13.354	22.808	137.03	47.736	10.179	0.0038057	vapor
118.28	0.090270	7.9323	0.12607	7.9956	8.9492	75.671	13.376	22.863	137.26	47.253	10.227	0.0038242	vapor
118.78	0.093946	8.2278	0.12154	7.9999	8.9567	75.413	13.398	22.920	137.47	46.777	10.275	0.0038428	vapor
119.28	0.097735	8.5314	0.11721	8.0042	8.9642	75.157	13.420	22.977	137.69	46.309	10.322	0.0038614	vapor
119.78	0.10164	8.8435	0.11308	8.0084	8.9715	74.903	13.443	23.035	137.91	45.849	10.370	0.0038802	vapor
120.28	0.10567	9.1641	0.10912	8.0126	8.9788	74.652	13.466	23.095	138.12	45.396	10.418	0.0038990	vapor
120.78	0.10982	9.4934	0.10534	8.0167	8.9860	74.402	13.489	23.155	138.33	44.950	10.466	0.0039179	vapor
121.28	0.11409	9.8316	0.10171	8.0208	8.9932	74.155	13.513	23.217	138.54	44.511	10.514	0.0039369	vapor
121.78	0.11849	10.179	0.098244	8.0248	9.0003	73.911	13.537	23.280	138.75	44.080	10.563	0.0039559	vapor
122.28	0.12302	10.535	0.094921	8.0288	9.0073	73.668	13.561	23.344	138.95	43.654	10.611	0.0039751	vapor
122.78	0.12768	10.901	0.091738	8.0328	9.0143	73.427	13.586	23.409	139.16	43.236	10.660	0.0039943	vapor
123.28	0.13247	11.276	0.088686	8.0367	9.0212	73.189	13.611	23.475	139.36	42.823	10.709	0.0040137	vapor
123.78	0.13740	11.660	0.085760	8.0406	9.0280	72.952	13.636	23.543	139.55	42.417	10.757	0.0040331	vapor
124.28	0.14247	12.055	0.082954	8.0444	9.0347	72.718	13.661	23.611	139.75	42.017	10.806	0.0040526	vapor
124.78	0.14768	12.459	0.080261	8.0481	9.0414	72.485	13.687	23.681	139.95	41.623	10.856	0.0040722	vapor
125.28	0.15304	12.874	0.077677	8.0519	9.0480	72.255	13.713	23.752	140.14	41.235	10.905	0.0040920	vapor
125.78	0.15854	13.299	0.075196	8.0555	9.0545	72.026	13.740	23.824	140.33	40.853	10.954	0.0041118	vapor
126.28	0.16419	13.734	0.072813	8.0592	9.0610	71.799	13.767	23.898	140.52	40.476	11.004	0.0041317	vapor
126.78	0.16999	14.180	0.070524	8.0627	9.0673	71.574	13.794	23.972	140.70	40.105	11.054	0.0041517	vapor
